feature,importance
detector_0_dominant_power,0.14991251822976662
detector_0_mean,0.10361657235350595
detector_3_dominant_power,0.09872808930358185
detector_3_mean,0.09238659502829984
detector_2_mean,0.08368583961583029
detector_2_dominant_power,0.07463474410650249
detector_1_dominant_power,0.07095809189858607
detector_1_mean,0.06745427399355713
detector_2_median,0.052044170180955716
detector_3_median,0.04288293114031991
detector_1_median,0.04012048457140621
detector_0_median,0.03667561547068535
detector_2_min,0.020984636668003806
detector_3_min,0.019876183240698
detector_0_min,0.015854725838348252
detector_1_min,0.011979382708629797
detector_2_variance,0.00688312740819112
detector_3_max,0.005042462199817761
detector_1_max,0.0020728978377757786
detector_0_max,0.0013324265998939627
detector_2_max,0.0010095852412571626
detector_3_range,0.0009012264046104192
detector_3_variance,0.00016412452487356063
detector_1_std,0.00013159058715547954
detector_1_variance,0.00010898864961092242
detector_2_range,0.00010444544399657893
detector_2_std,7.751610525816288e-05
detector_0_std,5.10582808423133e-05
detector_3_std,5.0412261380736016e-05
detector_1_skewness,4.3615716824795764e-05
detector_1_range,4.298371375852977e-05
detector_0_range,4.0568636331353084e-05
detector_2_kurtosis,3.111652851308215e-05
detector_0_variance,2.96111036944441e-05
detector_0_kurtosis,2.877165471481119e-05
detector_2_skewness,2.5019302626974623e-05
detector_0_skewness,1.3044378081856376e-05
detector_3_skewness,9.437732007454224e-06
detector_3_kurtosis,7.450965413840394e-06
detector_1_kurtosis,3.6643746917148448e-06
