feature,importance
detector_0_mean,0.14
detector_2_min,0.1
detector_2_median,0.09995012555925385
detector_1_dominant_power,0.08
detector_0_dominant_power,0.06
detector_0_median,0.06
detector_1_mean,0.06
detector_1_median,0.06
detector_0_min,0.050423000086858336
detector_3_mean,0.044049777558940406
detector_3_min,0.04
detector_1_min,0.04
detector_3_dominant_power,0.04
detector_2_dominant_power,0.04
detector_3_median,0.03994418711666091
detector_2_mean,0.02
detector_2_variance,0.016006035324398687
detector_3_max,0.009576999913141664
detector_2_std,4.9874440746160337e-05
detector_0_skewness,0.0
detector_0_std,0.0
detector_0_range,0.0
detector_0_max,0.0
detector_0_variance,0.0
detector_1_skewness,0.0
detector_1_kurtosis,0.0
detector_1_max,0.0
detector_0_kurtosis,0.0
detector_1_std,0.0
detector_1_variance,0.0
detector_1_range,0.0
detector_2_max,0.0
detector_3_std,0.0
detector_2_kurtosis,0.0
detector_2_range,0.0
detector_2_skewness,0.0
detector_3_range,0.0
detector_3_variance,0.0
detector_3_skewness,0.0
detector_3_kurtosis,0.0
